[2025-09-03 09:43:22,305: INFO: main: logging has started]
[2025-09-03 17:50:35,151: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-03 17:50:35,167: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-04 08:38:52,758: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-04 08:38:52,767: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-04 08:40:33,762: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-04 08:40:58,165: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-04 08:40:58,183: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-04 08:44:52,428: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-04 08:44:52,501: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-04 08:44:52,509: INFO: common: created directory at: artifacts]
[2025-09-04 08:44:52,514: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-04 08:44:59,024: INFO: 2799213169: File is downloaded]
[2025-09-04 09:45:55,497: INFO: main: stage Data Ingestion Stage started]
[2025-09-04 09:45:55,503: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-04 09:45:55,508: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-04 09:45:55,509: INFO: common: created directory at: artifacts]
[2025-09-04 09:45:55,510: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-04 09:46:00,831: INFO: data_ingestion: File is downloaded]
[2025-09-04 09:46:01,030: INFO: main: stage Data Ingestion Stage completed]
